name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
AONES Pack of 2 Silicone Watch Strap Compatible for Garmin Venu Sq Music Smart Watch Band Black,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51L5DxKknLL._AC_UL320_.jpg,https://www.amazon.in/AONES-Silicone-Watch-Compatible-Garmin/dp/B0BWW4R12J/ref=sr_1_337?qid=1679221047&s=watches&sr=1-337,,,₹539,₹990
Shark Stone Kids Silicone LED Wrist Smart Watch | Kids Waterproof Digital Dial Colorful Cartoon Character Watch for Boys a...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/71ArwDZ+GAL._AC_UL320_.jpg,https://www.amazon.in/Silicone-Waterproof-Digital-Colorful-Character/dp/B0BVVQZW65/ref=sr_1_338?qid=1679221047&s=watches&sr=1-338,,,₹269,₹699
"DRITON Digital 24 Images Ben 10 Projector Watch for Kids Boys Watch & Girls Watch, Diwali Gift, Birthday Return Gift (Colo...",kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/61Asicj8wOS._AC_UL320_.jpg,https://www.amazon.in/Driton-Digital-Images-Projector-Birthday/dp/B094ZYG8VW/ref=sr_1_339?qid=1679221047&s=watches&sr=1-339,3.7,51,₹279,₹999
IZU.. Digital Watch for Boys & Girls Waterproof Touch Button Watch Black Dial Date Month Wrist Smart Watch LED Band for Ki...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51b3VlIzVxL._AC_UL320_.jpg,https://www.amazon.in/IZU-Digital-Waterproof-Birthday-Watch-4/dp/B0BG568MW1/ref=sr_1_340?qid=1679221047&s=watches&sr=1-340,5.0,1,₹399,₹999
ALNA-TURA Apple Shape Multicolor Pack of 5 Waterproof Silicone Smart Digital LED Band Bracelet/Watch/Birthday Return Gift...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/71gxMk4iuhL._AC_UL320_.jpg,https://www.amazon.in/ALNA-TURA-Multicolour-Silicone-Birthday-Students/dp/B0B4GCRRJF/ref=sr_1_341?qid=1679221047&s=watches&sr=1-341,2.2,4,₹499,₹999
Sonata Ocean Series Analog-Digital Black Dial Men's Watch-NL7989PP01/NP7989PP01,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/91H9TJ-nTsL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Ocean-Analog-Digital-Black-Watch-NK7989PP01/dp/B00CL58J2I/ref=sr_1_342?qid=1679221047&s=watches&sr=1-342,4.1,210,"₹2,159","₹2,249"
ALNA-TURA Birthday Party Return Gift Combo Pack of 5 Each Led Watch & Cute Cartoon Key Ring - Multi Color Silicone Band wi...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51F8k1UxcoL._AC_UL320_.jpg,https://www.amazon.in/ALNA-TURA-Birthday-Party-Return-Cartoon/dp/B0B615TF5T/ref=sr_1_343?qid=1679221047&s=watches&sr=1-343,3.8,4,₹599,"₹1,199"
Shocknshop Digital LED Round Black Dial Kids Children Watch for Boys Girls -W12,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/610q8cD9iTL._AC_UL320_.jpg,https://www.amazon.in/Shocknshop-Digital-Round-Black-Children/dp/B0BRQG31CB/ref=sr_1_344?qid=1679221047&s=watches&sr=1-344,3.5,2,₹199,₹899
IZU... Digital Square Watch Black Dial Waterproof Smart Watch look Stylish and Fashionable LED Band Watch Wrist Watch for ...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51fMtB3JpBL._AC_UL320_.jpg,https://www.amazon.in/IZU-Digital-Waterproof-Stylish-Fashionable/dp/B0BW7R9M1H/ref=sr_1_345?qid=1679221047&s=watches&sr=1-345,,,₹225,₹999
"Digital 24 Images Projector Watch for Kids, Diwali Gift, Birthday Return Gift (Frozen)",kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/61rwCR1hMwL._AC_UL320_.jpg,https://www.amazon.in/Digital-Images-Projector-Diwali-Birthday/dp/B08WJG1JTQ/ref=sr_1_346?qid=1679221047&s=watches&sr=1-346,2.8,6,₹229,₹499
Time Up Digital Steel Style Dial Alarm Multi-Functions Sports Watch for Kids,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/81GeOcDQ0xL._AC_UL320_.jpg,https://www.amazon.in/TIME-UP-Digital-Multi-functions-Kids-KMR-8561112-3/dp/B07CC7YFZT/ref=sr_1_347?qid=1679221047&s=watches&sr=1-347,4.1,29,₹575,₹995
